,DE-BW,DE-BW-PR,BW,O-BW
2009-03-31,-10.118056172983945,-10.118056172983945,-0.6643922,-0.7260274
2009-04-30,-6.224888842644579,-6.224888842644574,-0.815724,-0.8874705
2009-05-31,-4.680308841798083,-4.6803088417980785,-0.7287624,-0.8274037
2009-06-30,-4.985098859522037,-4.985098859522039,-0.7249392,-0.827176
2009-07-31,-4.919143326379945,-4.919143326379949,-0.5269243,-0.5635224
2009-08-31,-1.5549077001577394,-1.5549077001577338,-0.5662601,-0.35492
2009-09-30,-2.146058014424194,-2.146058014424196,-0.6380435,-0.5401903
2009-10-31,-1.5320135646684003,-1.532013564668395,-0.8109843,-0.5640685
2009-11-30,-2.629497356483901,-2.6294973564839053,-0.9022906,-0.5733303
2009-12-31,-1.302273764445519,-1.3022737644455238,-0.8418318,-0.6780831
2010-01-31,-1.0372735056024596,-1.0372735056024593,-0.822113,-0.7978581
2010-02-28,-3.4783176013115886,-3.478317601311584,-0.746056,-0.8043953
2010-03-31,-1.3416684123330875,-1.341668412333087,-0.7533675,-0.8939431
2010-04-30,0.5392469475596697,0.5392469475596735,-0.5395849,-0.6935843
2010-05-31,-4.5580392871681745,-4.558039287168174,-0.5156592,-0.7908825
2010-06-30,-6.294495709299694,-6.294495709299675,-0.2767138,-0.6330314
2010-07-31,-4.003954710275021,-4.003954710275023,-0.2863761,-0.6372957
2010-08-31,-1.7777101019909214,-1.777710101990946,-0.204588,-0.4681431
2010-09-30,-2.4299986806078397,-2.4299986806078513,-0.2005801,-0.2994936
2010-10-31,2.4728330887792045,2.472833088779148,-0.323063,-0.3917551
2010-11-30,0.990255248464827,0.990255248464849,-0.3706475,-0.386886
2010-12-31,0.3870680253780013,0.38706802537799917,-0.3619741,-0.2242614
2011-01-31,1.600332615683221,1.600332615683152,-0.3547373,-0.0697939
2011-02-28,2.231449433276915,2.2314494332768824,-0.2944687,0.0386637
2011-03-31,1.8920874180333171,1.8920874180332938,-0.2436827,0.0759552
2011-04-30,0.6626873604730399,0.6626873604730781,-0.2471322,0.1474355
2011-05-31,2.808485619822118,2.80848561982214,-0.1063797,0.3841878
2011-06-30,0.7751528347169129,0.7751528347169347,-0.1911272,0.3165358
2011-07-31,-1.4383936962319623,-1.4383936962319646,-0.2090985,0.2729045
2011-08-31,-1.7093662067644098,-1.709366206764411,-0.2182722,0.294546
2011-09-30,-5.82673866679531,-5.826738666795314,-0.2182722,0.294546
2011-10-31,-3.056950161527598,-3.0569501615275967,-0.1577052,0.173925
2011-11-30,-0.18336192954733177,-0.18336192954736003,-0.2996023,0.0485669
2011-12-31,-3.1071426494230767,-3.107142649423081,-0.3320956,0.0085686
2012-01-31,-1.306903914636231,-1.3069039146362322,-0.3896362,-0.1333913
2012-02-29,1.9649732024963942,1.9649732024963575,-0.3230452,-0.100394
2012-03-31,3.0850986288463327,3.0850986288463247,-0.32679,0.0211949
2012-04-30,2.128710310386264,2.1287103103862606,-0.3205469,-0.0851224
2012-05-31,-0.7029650449092841,-0.7029650449092817,-0.3001382,-0.0806192
2012-06-30,-2.4650581602833173,-2.465058160283319,-0.4327835,-0.2266788
2012-07-31,0.7635043030128638,0.7635043030128714,-0.2989217,-0.0783843
2012-08-31,-0.35772121555119496,-0.3577212155511943,-0.3129841,0.0279072
2012-09-30,1.047878126993361,1.0478781269933592,-0.3020117,-0.000769
2012-10-31,3.017223408485776,3.0172234084857923,-0.2371628,0.0950318
2012-11-30,-0.6224328994487763,-0.6224328994487798,-0.3646638,-0.1316956
2012-12-31,-1.0994780184417723,-1.0994780184417705,-0.4237037,-0.2071169
2013-01-31,0.49145944080353704,0.49145944080353243,-0.3125606,-0.0322312
2013-02-28,1.5273582254591567,1.5273582254590494,-0.184826,0.1276547
2013-03-31,1.6749798132507139,1.6749798132506317,-0.1173066,0.0722985
2013-04-30,1.5494743114498328,1.54947431144975,-0.2178929,0.0019939
2013-05-31,1.679323507940508,1.6793235079404591,-0.165138,0.080449
2013-06-30,1.773091097342052,1.7730910973420086,-0.1029724,0.1422592
2013-07-31,1.2580928581150115,1.2580928581149917,-0.1957801,0.1284177
2013-08-31,1.9619423767321444,1.961942376732083,-0.1081459,0.0828409
2013-09-30,1.8620604572292117,1.8620604572292099,-0.0782529,0.08517
2013-10-31,4.338314857862636,4.338314857862553,-0.1250525,0.0342213
2013-11-30,3.054234250584723,3.0542342505846243,-0.177023,-0.0247444
2013-12-31,2.03532776477796,2.0353277647779286,-0.0675157,0.0973709
2014-01-31,2.999989605992858,2.999989605992787,-0.2611465,-0.0932323
2014-02-28,2.95951397969269,2.959513979692669,-0.2220947,-0.0793222
2014-03-31,4.134034449660133,4.13403444966007,-0.2191752,-0.0781646
2014-04-30,2.4926921420775874,2.4926921420775345,-0.2354833,-0.0819558
2014-05-31,1.9055632745762594,1.9055632745761952,-0.1799022,-0.0650901
2014-06-30,3.5361106063681165,3.5361106063680756,-0.1384224,-0.0223867
2014-07-31,4.545969386188512,4.54596938618846,-0.0029332,0.0659559
2014-08-31,1.5644685224267634,1.564468522426741,-0.0422071,0.0132341
2014-09-30,2.6820066316428166,2.682006631642741,0.016292,0.0745862
2014-10-31,3.106805178743487,3.1068051787434494,-0.079387,-0.036843
2014-11-30,1.0884488988550733,1.0884488988550203,-0.0166996,0.0100897
2014-12-31,2.365636539737981,2.3656365397379058,0.0346984,0.0579681
2015-01-31,0.9557766807551461,0.955776680755114,0.1628818,0.0874798
2015-02-28,1.309122711726343,1.309122711726332,0.209563,0.1524253
2015-03-31,2.5237863070645368,2.52378630706449,0.1571371,0.1805792
2015-04-30,1.3668940734320536,1.3668940734320454,-0.0346946,-0.0068851
2015-05-31,3.9205663770834693,3.920566377083423,-0.0121271,0.1011483
2015-06-30,2.930963150175142,2.9309631501751134,0.0365164,0.1817596
2015-07-31,3.24043137867609,3.240431378676073,-0.1333562,0.0134235
2015-08-31,-0.011146212441634384,-0.011146212441644043,-0.1431878,-0.0096571
2015-09-30,-1.4234342062763825,-1.4234342062763623,-0.2404326,-0.1238401
2015-10-31,1.219742434726712,1.219742434726717,-0.3028795,-0.1432489
2015-11-30,2.0101497181144157,2.010149718114388,-0.3807639,-0.1253181
2015-12-31,0.5370672403917989,0.5370672403917957,-0.353638,-0.0884614
2016-01-31,0.042274397946189035,0.042274397946208575,-0.353638,-0.0884614
2016-02-29,-1.8073987833021266,-1.8073987833020988,-0.4061095,-0.224195
2016-03-31,-1.2335848208672426,-1.2335848208672355,-0.3661306,-0.1636323
2016-04-30,1.1764144971132828,1.1764144971132937,-0.3691118,-0.1955041
2016-05-31,2.312280266408946,2.312280266408932,-0.3389331,-0.2072197
2016-06-30,0.8535272534608456,0.8535272534608466,-0.2787527,-0.1639827
2016-07-31,2.431003164404722,2.4310031644047188,-0.2007477,-0.1115952
2016-08-31,3.2746828949657143,3.2746828949657325,-0.1986837,-0.0860485
2016-09-30,2.1700293860685957,2.170029386068598,-0.3041568,-0.1744651
2016-10-31,3.956439551626622,3.9564395516266244,-0.287723,-0.1730049
2016-11-30,0.15982698495734593,0.15982698495734932,-0.2310366,-0.1789415
2016-12-31,1.3394084133990152,1.3394084133990227,-0.2452953,-0.2060358
2017-01-31,2.576279054755718,2.5762790547557213,-0.3242687,-0.1380863
2017-02-28,2.964721295500047,2.9647212955000515,-0.2871982,-0.0995957
2017-03-31,4.193076754589918,4.193076754589917,-0.2485551,-0.1503947
2017-04-30,1.8543539338487869,1.8543539338487856,-0.3340703,-0.2260275
2017-05-31,2.5595370379209577,2.5595370379209585,-0.2477917,-0.1650151
2017-06-30,2.3707824895712646,2.370782489571262,-0.3433284,-0.2599578
2017-07-31,1.7122010050773058,1.712201005077306,-0.3641457,-0.2670674
2017-08-31,2.5976731497040677,2.5976731497040664,-0.4015786,-0.2368469
2017-09-30,1.7592726064973392,1.7592726064973312,-0.222597,-0.0374164
2017-10-31,4.276526662699486,,-0.1876367,-0.0747195
2017-11-30,,,-0.1986635,-0.0626733
2017-12-31,,,-0.1912443,-0.0388482
2018-01-31,,,-0.1113182,0.0376989
2018-02-28,,,-0.0519433,0.132916
2018-03-31,,,-0.0132708,0.1639958
2018-04-30,,,-0.2826542,-0.0919298
2018-05-31,,,-0.3047261,-0.0468461
2018-06-30,,,-0.2956845,-0.0917742
2018-07-31,,,-0.2410729,-0.0549166
2018-08-31,,,-0.2370342,-0.1329653
2018-09-30,,,-0.2942922,-0.2098428
2018-10-31,,,-0.3195979,-0.1572199
2018-11-30,,,-0.3621018,-0.2327752
2018-12-31,,,-0.4099609,-0.2820873
