,DE-BW,DE-BW-PR,BW,O-BW
1976-06-30,,,-1.760859,-2.15343
1976-07-31,,,-1.679178,-2.152854
1976-08-31,,,-1.766702,-2.209857
1976-09-30,,,-1.798486,-2.249386
1976-10-31,,,-1.804085,-2.185751
1976-11-30,,,-1.883289,-2.422017
1976-12-31,,,-1.772721,-2.286561
1977-01-31,,,-1.646713,-2.025727
1977-02-28,,,-1.524967,-1.892686
1977-03-31,,,-1.431079,-1.803675
1977-04-30,,,-1.428358,-1.785025
1977-05-31,,,-1.611428,-1.944725
1977-06-30,,,-1.591499,-1.958674
1977-07-31,,,-1.564885,-1.88296
1977-08-31,,,-1.590775,-1.86875
1977-09-30,,,-1.58951,-1.841809
1977-10-31,,,-1.573193,-1.826746
1977-11-30,,,-1.521006,-1.604935
1977-12-31,,,-1.487213,-1.531034
1978-01-31,,,-1.502543,-1.507866
1978-02-28,,,-1.4793,-1.472716
1978-03-31,,,-1.374802,-1.425717
1978-04-30,,,-1.160426,-1.272651
1978-05-31,,,-1.216063,-1.29328
1978-06-30,,,-1.235281,-1.296347
1978-07-31,,,-1.332616,-1.317221
1978-08-31,,,-1.298949,-1.383804
1978-09-30,,,-1.217668,-1.259989
1978-10-31,,,-1.18726,-1.270026
1978-11-30,,,-1.178543,-1.266703
1978-12-31,,,-1.134156,-1.190451
1979-01-31,,,-0.9559739,-1.007454
1979-02-28,,,-1.007392,-1.015238
1979-03-31,,,-1.062615,-0.9413851
1979-04-30,,,-1.041607,-0.8805352
1979-05-31,,,-0.9510597,-0.7983497
1979-06-30,,,-0.7360745,-0.4940286
1979-07-31,,,-0.5875173,-0.3456976
1979-08-31,,,-0.502843,-0.1888116
1979-09-30,,,-0.4699108,-0.0922991
1979-10-31,,,-0.7536069,-0.4231892
1979-11-30,,,-0.7123248,-0.3559471
1979-12-31,,,-0.6573135,-0.2429214
1980-01-31,,,-0.7262089,-0.3663194
1980-02-29,,,-0.7108722,-0.4166412
1980-03-31,,,-0.5268083,-0.5868668
1980-04-30,,,-0.5724348,-0.4712964
1980-05-31,,,-0.3305764,-0.1582484
1980-06-30,,,-0.2633965,-0.1266474
1980-07-31,,,-0.2264394,-0.216283
1980-08-31,,,-0.2921338,-0.1517137
1980-09-30,,,-0.3390272,-0.0350968
1980-10-31,,,-0.3189383,-0.0175014
1980-11-30,,,-0.1292166,0.0950589
1980-12-31,,,0.2567682,0.412389
1981-01-31,,,0.3528366,0.5560931
1981-02-28,,,0.5800104,0.8131778
1981-03-31,,,0.6917378,0.8744214
1981-04-30,,,0.6436737,0.7272612
1981-05-31,,,0.5515262,0.441996
1981-06-30,,,0.7399527,0.5348935
1981-07-31,,,0.5791551,0.4090696
1981-08-31,,,0.8243543,0.5041084
1981-09-30,,,1.011441,0.515219
1981-10-31,,,1.076527,0.6294612
1981-11-30,,,1.214069,0.8789541
1981-12-31,,,1.439078,1.174429
